Type;Name;Unit;Definition;Output_of_model(s);Input_to_model(s);Defined by
variable;Capacity|Electricity;GW;Total installed (available) capacity of all operating power plants;;;
variable;Capacity|Electricity|Biomass|w/ CCS;GW;Total installed (available) capacity of biomass power plants with CCS, including plants held in an operating reserve. The installed (available) capacity of CCS biomass power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Biomass|w/ CCS|1, ..., Capacity|Electricity|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ;;;
variable;Capacity|Electricity|Biomass|w/o CCS;GW;Total installed (available) capacity of biomass power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of biomass power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Biomass|w/o CCS|1, ..., Capacity|Electricity|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ;;;
variable;Capacity|Electricity|Coal|w/ CCS;GW;Total installed (available) capacity of coal power plants with CCS, including plants held in an operating reserve. The installed (available) capacity of CCS coal power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Coal|w/ CCS|1, ..., Capacity|Electricity|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ;;;
variable;Capacity|Electricity|Coal|w/o CCS;GW;Total installed (available) capacity of coal power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of coal power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Coal|w/o CCS|1, ..., Capacity|Electricity|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ;;;
variable;Capacity|Electricity|Gas|w/ CCS;GW;Total installed (available) capacity of gas power plants with CCS, including plants held in an operating reserve. The installed (available) capacity of CCS gas power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Gas|w/ CCS|1, ..., Capacity|Electricity|Gas|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ;;;
variable;Capacity|Electricity|Gas|w/o CCS;GW;Total installed (available) capacity of gas power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of gas power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Gas|w/o CCS|1, ..., Capacity|Electricity|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ;;;
variable;Capacity|Electricity|Hydro;GW;Total installed (available) capacity of hydropower plants. The installed (available) capacity of hydropower plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Hydro|1, ..., Capacity|Electricity|Hydro|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ;;;
variable;Capacity|Electricity|Hydrogen;GW;Total installed (available) capacity of hydrogen power plants. The installed (available) capacity of hydrogen power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Hydrogen|1, ..., Capacity|Electricity|Hydrogen|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ;;;
variable;Capacity|Electricity|Nuclear;GW;Total installed (available) capacity of nuclear power plants. The installed (available) capacity of nuclear power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Nuclear|1, ..., Capacity|Electricity|Nuclear|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ;;;
